id,Value of House,TAX,LOT SQFT,YR BUILT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,REMODEL
1314,348.3,4381,3400,1920,2540,1632,2,9,4,1,1,1,1,No
2032,312.5,3931,6057,1950,2374,1306,1.5,6,3,2,0,1,1,No
3138,406.8,5117,7600,1915,3404,1745,2,8,3,1,1,1,0,No
5396,389.7,4902,5798,1924,3268,1808,2,9,4,1,1,1,1,No
297,297.8,3746,5975,1955,2628,1469,1.5,7,3,2,0,1,0,No
5484,364.9,4590,4760,1960,2352,1100,1,5,3,2,0,1,1,No
2977,741.9,9333,7589,2006,4856,3245,1.5,10,5,3,1,1,2,No
4974,446.7,5619,7498,1946,2860,1680,1.5,8,4,1,1,1,1,No
5549,344.1,4328,7482,1950,2635,1315,1,7,3,1,1,1,1,No
201,289.5,3641,4335,1965,2087,1326,2,7,3,1,1,1,1,Old
4696,453.4,5703,7571,1925,2820,1950,2,7,3,2,0,1,1,Recent
4191,442,5560,6309,1935,3665,2074,2,9,5,2,0,1,1,No
4738,408.8,5142,7218,1940,2946,1428,1.5,6,2,1,1,1,1,Recent
1863,309.4,3892,3649,1960,2248,1488,2,7,4,1,1,1,1,No
1136,446.4,5615,6000,1989,2700,1740,2,7,4,1,2,1,1,No
1615,337.4,4244,6600,1930,2447,1226,1.5,7,3,1,1,1,0,No
614,301,3786,6000,1960,2280,1715,1,7,3,1,1,2,1,No
1388,398.8,5016,6000,1985,3320,1938,2,8,4,1,1,1,1,No
3520,402.3,5060,6083,1930,2714,1792,2,8,3,1,1,1,0,Old
2968,369.5,4648,5500,1955,2820,1503,1.5,7,4,2,0,1,1,No
5052,522.7,6575,6048,1938,3134,2006,2,7,3,2,1,1,2,No
5459,367,4616,4461,1924,2604,1404,2,6,3,1,1,1,1,No
1747,325.3,4092,3310,1960,2328,1536,2,7,4,1,1,1,1,No
5294,389.8,4903,5000,1972,2400,1620,2,6,3,1,1,1,0,No
4076,315.5,3968,5000,1950,2256,1042,1,7,3,1,0,1,0,No
2104,470.1,5913,5000,1900,3061,1836,2,7,3,2,1,1,0,Recent
4506,338.5,4258,3525,1940,2016,960,1,5,2,1,0,1,0,No
3695,419.4,5276,4400,1902,4217,2680,2.5,9,6,1,1,1,2,No
3832,292.1,3674,4250,1957,2430,1137,1,6,3,1,0,1,1,Old
5797,413.414,5200,9150,1950,2324,1326,2,7,3,1,1,1,1,No
3384,396.1,4982,6375,1890,3114,1778,2,8,4,2,0,1,1,Recent
1687,270.5,3402,4433,1930,3238,1492,1,6,2,1,0,1,0,Old
3605,399.5,5025,9030,1987,3006,1904,2,8,3,1,1,1,1,No
913,300.6,3781,5043,1955,2336,1306,1.5,6,3,2,0,1,1,No
4293,340.6,4284,5016,1950,2284,1173,1.5,5,2,1,1,1,2,No
1396,313.4,3942,4050,1920,2536,1582,2,6,3,1,1,1,1,No
3649,270,3396,4204,1938,2373,1050,1,6,2,1,0,1,0,No
2250,491.1,6178,6500,1958,3722,2048,2,8,4,3,1,1,1,Recent
2451,545,6856,8598,1930,4111,2133,2,7,3,1,1,1,1,Old
1975,289.7,3644,4581,1925,2091,975,1,5,2,1,0,1,0,No
567,355.8,4475,8526,1965,2068,1726,1,9,3,2,0,2,0,No
5405,429.2,5399,8160,1925,3359,1544,1,7,4,1,1,1,1,No
5462,422.2,5311,5000,1910,3144,1828,2,9,4,1,1,1,1,No
5382,420.4,5288,6548,1950,2918,1643,2,7,3,1,1,1,1,No
918,321.5,4044,5616,1910,2664,1346,1.5,7,3,1,0,1,0,Recent
4652,345,4340,3224,1963,2213,1274,2,6,3,1,1,1,1,No
5436,387.3,4872,7125,1935,2530,1430,2,6,3,1,1,1,1,Recent
4999,352.6,4435,4750,1910,3332,1771,1.5,7,3,1,0,1,1,No
1525,518.3,6520,7877,1951,3644,2150,2,9,6,2,0,1,0,Recent
777,346.7,4361,3502,1989,2523,1632,2,8,3,1,1,1,0,No
1289,357.4,4496,4000,1915,3954,1725,1,7,4,1,1,1,1,Old
4667,419.2,5273,5590,1910,3597,2151,2,8,3,1,1,1,1,No
170,307.1,3863,6000,1965,2308,2009,1,9,3,2,0,1,0,No
1208,297.7,3745,3564,1899,2369,1448,2,6,3,1,1,1,0,No
4384,384.3,4834,4196,1920,2872,1593,1.5,5,2,1,1,1,0,No
807,280.4,3527,3207,1914,2622,1379,2,7,3,1,1,1,0,No
5658,465.9,5861,5180,1950,2826,1674,2,8,3,1,1,1,1,Old
5792,564,7095,5000,1950,4108,2421,2,7,4,1,2,1,1,Recent
4431,484.5,6095,8474,1940,2844,1558,2,7,3,1,1,1,1,No
3034,349.4,4395,5500,1920,2835,1544,1.5,6,2,1,1,1,1,No
1987,340.5,4283,5958,1920,2184,1210,1.5,6,3,1,1,1,1,No
1234,378.8,4765,6000,1985,2851,1795,2,6,3,2,0,1,1,No
3524,482.3,6067,11324,1940,3555,1981,2,10,5,1,1,1,1,Old
366,340.7,4286,5941,1962,2712,1469,1.5,7,3,2,0,1,0,Recent
2131,451.2,5676,8143,1920,2976,1770,2,7,3,1,1,1,1,No
3227,344,4327,5812,1920,2924,1595,1.5,6,3,2,0,1,1,No
3671,523,6579,8665,1920,4399,2416,2,9,4,1,2,1,2,Old
2056,419.2,5273,5200,1940,2567,1464,2,7,3,1,1,1,1,No
2863,442.3,5564,3750,1923,2754,1859,2,8,3,2,0,1,1,Recent
2539,302.3,3802,5500,1935,2304,1116,1,6,2,1,0,1,1,Old
4249,341,4289,3811,1925,2064,1364,2,7,3,1,0,1,1,No
527,276.9,3483,4254,1962,2100,1404,1,5,3,1,1,1,0,Old
4204,329,4138,5912,1930,2807,1218,1,6,2,1,0,1,1,No
4918,375,4717,5000,1930,2874,1724,2,6,3,1,0,1,0,No
3816,370.1,4655,3816,1931,3590,1588,1,9,4,2,0,1,1,No
577,297.9,3747,4000,1980,2352,1104,1,8,4,2,0,1,0,No
829,302.3,3802,4513,1950,2276,1056,1,5,3,2,0,1,1,Recent
2502,447.3,5627,6687,1902,3692,2132,2,7,4,1,1,1,1,No
4413,548.5,6900,8424,1965,3086,1988,1,6,3,1,1,1,2,No
3921,346.7,4361,4000,1920,2504,1188,1,6,2,1,0,1,1,Recent
496,281.7,3543,4272,1962,1669,1104,2,5,3,1,1,1,0,No
1183,259.7,3267,3178,1925,2464,1206,1,6,2,1,0,1,0,No
96,360.9,4540,5400,1950,2508,1440,2,6,3,3,0,1,0,Recent
294,337.2,4241,13250,1950,2508,1075,1,6,3,1,1,1,1,No
5539,470.2,5915,6000,1953,3346,2005,2,7,3,1,1,1,1,No
4439,416.2,5235,4440,1935,3074,1832,2,8,4,2,0,1,0,No
3259,331.3,4167,4793,1945,2154,1380,2,6,3,1,0,1,0,No
20,348,4377,9001,1875,2840,1632,2,7,3,1,0,1,0,No
1491,374.1,4706,5387,1959,3086,1666,1.5,6,3,1,1,1,1,Old
2835,359.8,4526,3850,1939,2355,1379,2,7,3,1,1,1,1,No
2194,455.9,5735,4708,1936,2924,1933,2,8,4,1,1,1,1,No
3358,574.3,7224,9562,1909,4173,2367,2.5,9,5,2,1,1,1,Recent
637,488.2,6141,18515,1989,4449,2511,2,9,3,3,0,1,2,No
2996,535,6730,5732,1900,3818,2113,2,9,5,1,0,1,1,No
2344,428.3,5388,4002,1913,3325,1966,2,7,4,1,1,1,1,Recent
1110,257.4,3238,5850,1940,2295,1015,1,6,3,1,0,1,0,No
252,561.8,7067,9604,2006,3960,2455,2,8,4,2,1,1,1,No
3562,412.2,5185,7090,1987,3151,1836,2,8,3,1,1,1,1,No
5029,370.4,4659,4461,1927,2185,1350,2,9,4,1,0,1,0,No
5378,484.4,6093,6185,1930,2863,1820,2,6,3,1,1,1,0,No
4460,606.1,7624,12029,1940,5068,2874,2,8,4,1,1,1,1,No
2115,429.7,5405,5768,1920,3401,2110,2,8,3,1,1,1,1,No
3738,339.6,4272,3185,1940,2714,1758,2,7,4,1,1,1,0,No
4968,471.6,5932,8652,1935,3212,2072,2,7,3,1,1,1,1,Recent
112,327.5,4119,5968,1910,3216,1839,2,7,3,1,1,1,0,No
2064,384.4,4835,5692,1932,2915,1596,2,7,3,1,1,1,1,No
4324,364.4,4584,5032,1950,1825,1225,2,7,3,1,1,1,1,Old
4180,1009.9,12704,13300,2010,7624,4133,2,9,4,3,1,1,2,No
774,270.7,3405,4165,1960,2384,1306,1.5,6,3,1,0,1,1,No
4538,432.5,5440,4992,1956,2520,1834,1,5,3,1,0,1,1,Recent
2810,598.1,7524,12927,1920,3303,1818,2,8,4,1,1,1,0,No
2369,354.7,4462,5385,1925,2878,1248,1,6,2,1,0,1,1,No
3327,489.7,6160,9062,1910,3541,2665,2,8,3,2,0,1,0,Old
4569,478.5,6019,5000,1953,3072,1980,2,8,4,2,0,1,1,Recent
5665,368.1,4630,4423,1925,2486,1404,2,7,3,1,1,1,0,No
1817,338.3,4255,3360,1970,2528,1536,2,7,4,1,1,1,1,No
2684,470.2,5915,10500,1955,3758,1781,1.5,6,3,2,0,1,1,No
4652,345,4340,3224,1963,2213,1274,2,6,3,1,1,1,1,No
4205,389.9,4904,5712,1940,2564,1499,2,8,3,1,1,1,1,No
4431,484.5,6095,8474,1940,2844,1558,2,7,3,1,1,1,1,No
5016,378.2,4757,5985,1958,2344,1112,1,5,2,1,1,1,1,No
1888,340,4277,5000,1950,2294,1275,2,6,3,1,1,1,1,No
323,558.8,7029,8317,2005,4133,2605,2,8,4,2,1,1,1,No
1596,278.5,3503,4046,1961,2480,1120,1,5,2,1,0,1,1,No
5136,482.2,6066,7005,1920,3522,2096,2,10,5,2,1,1,1,No
898,306.3,3853,6710,1960,2232,1044,1,6,2,1,0,1,1,No
4398,396.7,4990,5055,1930,2779,1704,2,7,4,1,1,1,1,No
4377,669.5,8422,13850,1910,6016,3470,2,11,5,2,1,1,1,No
2087,514.7,6474,9006,1940,3560,2210,2,6,3,1,1,1,1,No
1560,233.6,2938,3600,1932,1904,864,1,5,2,1,0,1,0,Recent
3775,387.7,4877,3926,1940,3396,2014,2,8,3,1,1,1,1,Recent
109,302.3,3802,4200,1930,2272,1352,2,8,3,1,0,1,1,Recent
2579,220.9,2778,3000,1940,1812,840,1,5,2,1,0,1,0,No
882,313.2,3940,3724,1945,2796,1576,1.5,6,3,1,1,1,1,No
3505,351.2,4418,5725,1930,2584,1428,1.5,6,3,1,0,1,0,No
1097,277.7,3493,5365,1950,1505,1294,1,7,4,1,0,1,0,No
4959,423.8,5331,7124,1936,2852,1578,2,7,3,1,1,1,1,Recent
363,256.4,3225,2410,1950,2535,1632,2,7,3,2,0,1,0,No
4545,546.6,6876,8400,1895,4411,2190,2,7,4,1,1,1,1,Old
5082,406.5,5113,7036,1945,2518,1449,2,7,3,1,1,1,1,Old
3720,299.9,3772,4645,1960,2640,1165,1,6,3,1,1,1,2,No
1194,226.4,2848,2965,1925,2000,1002,1,5,2,1,0,1,0,No
3097,397.4,4999,5469,1925,2145,1352,2,8,2,1,1,1,1,Recent
4934,378.7,4764,5454,1920,2695,1608,2,7,3,1,1,1,1,No
4871,415.1,5221,5296,1940,2673,1394,1.5,8,3,1,1,1,1,Recent
5658,465.9,5861,5180,1950,2826,1674,2,8,3,1,1,1,1,Old
511,314.1,3951,10641,1965,2136,1008,1,6,3,1,1,2,0,No
701,318.3,4004,4632,1950,2886,1346,1,6,4,1,0,1,0,No
2796,626.7,7883,10500,1920,5883,3046,2,9,3,1,1,1,1,No
5064,426.5,5365,8470,1950,2830,1271,1,5,3,1,1,1,1,No
4412,364.9,4590,5000,1925,2260,1389,2,7,4,1,1,1,0,No
750,283.8,3570,4238,1960,2340,1306,1.5,5,2,2,0,1,1,No
3324,334.5,4208,6500,1953,2250,1275,1.5,6,3,2,0,1,1,Old
1256,425.3,5350,6303,1989,2820,1800,2,7,3,2,1,1,0,No
4774,377.3,4746,6145,1950,3244,1142,1,6,3,2,0,1,0,No
3538,346.4,4357,4307,1929,2076,1352,2,6,2,1,0,1,0,Old
1336,406.1,5108,5343,1917,2978,1756,2,7,4,1,1,1,1,Recent
507,329.9,4150,8858,1960,2436,1726,1,7,3,1,1,1,2,No
5748,429.3,5400,6989,1953,3428,1700,1,7,3,1,1,1,1,No
1989,422.6,5316,6312,1935,2844,1680,2,7,4,1,1,1,1,No
971,264.2,3323,4020,1965,1844,1152,2,6,2,1,1,1,0,No
4284,386.8,4865,6154,1950,2352,1327,2,6,3,1,1,1,1,No
1850,441.4,5552,6303,1935,3293,1936,2,8,3,1,1,1,1,Recent
1993,344.6,4335,5781,1910,2422,1251,1.5,7,3,1,1,1,1,No
942,374.8,4714,11425,1945,3130,1180,1,6,2,1,1,1,2,Old
1242,265.2,3336,5164,1950,1808,864,1,5,2,1,0,1,1,No
945,259.3,3261,3175,1955,2684,1183,1,5,2,1,0,1,1,No
239,314.3,3953,7109,1960,2239,1380,2,8,3,1,1,1,0,No
4280,507.6,6385,7155,1923,4698,2227,1,8,4,2,0,1,1,No
4154,533.7,6713,9116,1952,3330,2084,2,7,3,2,0,1,1,Recent
211,279.6,3517,6026,1960,2376,1487,1,9,3,1,1,1,0,No
5698,356,4478,5000,1924,2343,1296,2,6,2,1,1,1,1,No
2666,460,5786,9379,1963,2320,1470,2,8,3,2,1,1,1,Recent
4240,316.9,3986,5304,1930,2706,1479,1.5,7,3,1,0,1,0,No
1532,298.3,3752,4400,1956,2339,960,1,5,3,1,0,1,0,No
4054,554.9,6980,10663,1910,5212,2885,2,10,4,2,1,1,0,Recent
2484,398.6,5014,5024,1930,2506,1576,2,7,3,1,1,1,0,No
4983,507.2,6380,7667,1964,3111,2389,1,7,3,1,2,1,1,No
3148,341.8,4299,6531,1953,2700,1260,1,6,3,1,1,1,1,No
3487,302,3799,7005,1955,2356,1108,1,5,2,1,0,1,1,Old
3844,291.8,3670,4000,1965,2096,1032,1,6,4,2,0,1,0,No
4881,408.8,5142,6535,1935,2748,1544,2,7,3,1,0,1,1,No
5301,387.9,4879,5823,1953,2567,1479,2,6,3,1,1,1,1,No
303,563.1,7083,9021,2005,4065,2605,2,8,4,2,1,1,1,No
3321,381.5,4799,4030,1920,3250,1872,2,6,3,2,0,1,1,Old
2903,454.5,5717,10405,1900,3684,1956,2,8,3,1,1,1,1,No
3969,386.5,4862,4000,1933,2328,1384,2,7,3,1,1,1,1,Recent
822,434.8,5469,8951,1964,3431,2655,1,8,3,2,0,1,2,No
610,231.1,2907,5657,1972,2160,1080,1,5,3,1,0,1,1,No
5651,376,4730,4000,1935,2502,1419,1.5,5,2,1,1,1,1,Recent
242,286.9,3609,6044,1957,2634,1469,1.5,5,2,1,0,1,0,No
3612,343.7,4323,6049,1953,2877,1373,1.5,6,3,1,1,1,1,Old
5460,376.6,4737,4761,1933,2772,1816,2.5,7,3,1,1,1,1,Old
3939,390.9,4917,5371,1927,2986,1664,2,6,3,1,1,1,1,No
3567,323.6,4070,4637,1920,3144,1400,1,7,4,1,0,1,0,No
345,576,7246,6864,2005,5122,3108,2,8,4,2,1,1,1,No
2716,403.3,5073,3078,1940,3654,2145,2,8,4,1,1,1,0,Recent
5198,437.1,5498,3839,1933,2922,1330,1,7,3,2,0,1,1,Recent
5000,308.2,3877,3694,1925,1690,1008,2,5,2,1,0,1,0,No
3204,337.5,4245,5687,1893,2550,1224,1.5,7,3,1,0,1,0,No
4656,388,4881,7218,1950,2690,1395,2,7,3,1,1,1,1,No
1772,273.4,3439,4307,1947,2044,1152,2,6,3,1,0,1,1,No
3711,322.5,4057,4932,1940,2484,1075,1,6,3,1,1,1,0,Recent
3265,385.6,4850,6000,1960,2214,1470,2,8,4,1,1,1,1,No
4908,416.5,5239,6380,1925,2796,1716,2,8,4,1,1,1,1,No
3532,289.5,3641,5000,1930,2206,995,1,5,2,1,0,1,0,No
311,177.4,2231,3624,1910,821,600,1,5,2,1,0,1,0,No
939,424.5,5340,8021,1960,2624,1434,1.5,7,4,1,1,1,1,No
5087,445.9,5609,6251,1955,3418,2013,2,7,3,2,0,1,1,No
1669,346.9,4364,5388,1967,2240,1284,1.5,7,4,1,1,1,0,No
192,412.4,5187,6000,1993,2991,1680,2,6,3,1,1,1,1,No
3107,510.2,6418,6480,1920,3119,1729,2,7,3,1,1,1,0,Recent
1691,316,3975,8418,1910,2001,1019,1.5,6,3,1,0,1,0,No
507,329.9,4150,8858,1960,2436,1726,1,7,3,1,1,1,2,No
1720,423.5,5327,6710,1965,3020,1778,2,7,3,2,1,1,1,No
311,177.4,2231,3624,1910,821,600,1,5,2,1,0,1,0,No
2871,480.4,6043,5201,1920,3544,1920,2,7,4,1,1,1,1,No
5471,538.3,6771,6349,1930,4002,2084,2,8,4,2,1,1,1,Recent
2880,330.5,4157,6163,1950,2520,1260,1,6,2,1,0,1,1,No
738,322.2,4053,4151,1957,2988,1344,1,7,5,1,1,1,1,Old
2468,457.1,5750,6459,1936,2392,1214,1.5,7,3,2,0,1,1,Recent
1747,325.3,4092,3310,1960,2328,1536,2,7,4,1,1,1,1,No
3382,499.3,6281,6871,1955,3776,2215,2,8,4,2,1,1,1,No
5060,321,4038,3500,1920,2378,1408,2,7,4,1,0,1,1,No
1579,496.1,6240,9858,1952,4612,2038,1,12,5,3,0,2,2,No
4845,672.6,8461,14282,1880,5062,2822,2,11,5,1,2,1,2,No
5734,397.9,5005,5000,1935,2247,1230,2,6,3,2,0,1,1,Old
788,291.3,3664,3931,1960,2593,1403,1.5,6,2,1,0,1,1,No
5792,564,7095,5000,1950,4108,2421,2,7,4,1,2,1,1,Recent
528,280.3,3526,2845,1920,3100,1761,1.5,8,5,2,0,1,0,Recent
403,317.8,3997,6197,1963,2294,2059,1,6,3,1,0,1,1,No
1786,535.8,6740,6835,1920,2599,1465,2,6,3,2,1,1,0,Recent
1027,227.3,2859,4545,1961,1800,900,1,5,3,1,0,1,0,No
69,365.1,4592,5058,1910,3362,1763,2,8,4,2,0,1,0,Recent
2883,304.4,3829,3662,1940,2400,1400,2,7,3,1,0,1,0,No
3774,530.8,6677,8153,1902,4979,2854,2,9,5,2,0,1,2,Recent
437,288.2,3625,4159,1960,2356,1306,1.5,6,2,1,0,1,1,No
661,310.3,3903,6111,1959,2148,1726,1,8,4,1,1,2,0,No
1109,356.3,4482,4900,1950,2660,1798,2,7,4,1,1,1,0,Old
2357,432.1,5435,8023,1947,2615,1434,2,7,3,1,1,1,1,No
4926,359.9,4527,6143,1940,2629,1188,1,6,3,1,1,1,1,No
5161,422.2,5311,8350,1954,2666,1841,1,5,3,1,0,1,0,No
4946,401.7,5053,8545,1925,2864,1476,2,6,3,1,0,1,0,No
1255,512.8,6451,11382,1990,3840,2160,2,7,3,2,1,1,0,No
1719,316.2,3977,8423,1890,2204,1085,1.5,6,3,1,1,1,0,No
2626,362.5,4560,5500,1932,2630,1556,2,7,3,1,1,1,1,No
3307,432.7,5443,10250,1885,2847,1764,2,6,3,1,0,1,0,No
4973,370.5,4660,6000,1925,2509,1520,2,6,3,1,1,1,1,No
1985,457.4,5754,8431,1950,5416,2407,1,6,2,2,0,1,0,No
5178,349,4390,4825,1930,2136,1242,2,6,3,1,0,1,0,No
1196,318.4,4005,4630,1935,2314,1409,2,7,3,1,0,1,1,No
3391,542.3,6822,5720,1900,5022,2654,2,10,4,1,2,1,1,No
3348,343.1,4316,5941,1955,2084,1372,2,6,3,1,1,1,0,No
1364,273.6,3441,4888,1960,2430,1075,1,5,4,1,1,1,0,No
2058,396.4,4986,5750,1920,3498,1827,1.5,6,4,2,0,1,0,Recent
4122,325.6,4096,4800,1928,2116,1303,2,6,3,1,1,1,0,No
148,335.3,4218,6400,1974,3404,2612,1,7,4,1,1,1,1,Old
4875,409.9,5156,6930,1940,2704,1608,2,6,3,1,1,1,1,No
5407,354.2,4455,7040,1950,2800,1260,1,5,2,1,0,1,1,No
5183,396.6,4989,7077,1930,2610,1590,2,6,3,1,0,1,1,No
2304,419.1,5272,7500,1932,2500,1560,2,6,3,1,1,1,1,No
1309,276.2,3474,4464,1950,1776,888,1,4,2,1,0,1,1,No
3493,438.1,5511,10800,1900,3211,1560,2,6,3,1,1,1,1,No
3914,275.3,3463,4000,1950,2521,1111,1,5,2,1,0,1,0,No
899,349.4,4395,5049,1956,2504,1506,1.5,6,3,1,0,1,1,No
216,182.7,2298,1616,1920,1439,856,2,5,2,1,0,1,0,No
101,301.4,3791,6444,1940,2886,1474,1.5,6,3,1,1,1,1,No
4797,407,5120,6287,1925,3370,1968,2,8,4,2,0,1,1,No
5641,325.2,4091,5128,1938,1780,1112,2,6,2,1,1,1,1,No
2740,480,6038,4829,1950,2631,1716,2,9,3,2,1,1,1,Recent
1373,304.3,3828,3710,1930,1873,1144,2,8,4,1,0,1,0,No
3550,343.4,4319,5000,1956,2396,1306,1.5,7,3,1,1,1,1,No
2130,413,5195,5974,1920,2664,1664,2,8,3,1,1,1,1,No
3637,396.9,4993,5082,1900,3476,2000,2,7,4,1,1,1,0,Recent
1288,285.3,3589,3856,1920,2112,1232,2,7,3,1,0,1,1,No
2614,473.9,5961,7500,1907,4881,2652,2,7,4,1,1,1,2,No
4356,425.8,5356,7794,1925,3830,2029,2,8,4,1,1,1,0,Recent
2720,345.4,4345,4500,1950,2576,1346,1.5,6,2,2,0,1,1,Old
3279,402.3,5060,6500,1890,3940,2212,2,9,5,1,1,1,0,No
2647,468.2,5889,6120,1920,2921,2098,2,9,4,1,1,1,1,Recent
533,307.1,3863,7532,1960,2898,1726,1,6,2,2,0,1,0,No
1379,281.6,3542,3086,1925,2331,1142,1.5,7,3,1,0,1,0,Old
307,331.2,4166,13494,1950,2340,1306,1.5,6,3,2,0,1,1,No
373,406.9,5118,6756,1996,2604,1680,2,7,3,2,0,1,1,No
4359,387.4,4873,6030,1965,2395,1915,1,5,3,1,0,1,1,No
4925,403.9,5081,5500,1930,3221,1880,2,7,3,1,1,1,1,No
2301,461.1,5800,5764,1920,2417,1392,2,9,4,1,1,1,1,No
2081,585.4,7364,18247,1900,5561,3160,2,10,7,3,0,1,2,No
4126,475.2,5978,7860,1920,3220,2187,2,8,4,2,1,1,2,Recent
2922,385.6,4850,5682,1930,4368,2039,1,9,4,2,0,1,0,No
3051,595.2,7487,9425,1900,4455,2838,2.5,10,6,2,1,1,1,Recent
4651,390.9,4917,6800,1968,2514,1961,1,8,4,1,1,1,2,No
5611,462.9,5823,6085,1955,3010,1974,2,8,4,2,1,1,1,Recent
785,328.9,4137,9834,1950,2598,1414,1.5,6,3,1,1,1,0,No
3430,332.7,4185,4903,1930,1826,1152,2,6,3,1,0,1,0,No
4514,559,7032,8400,1910,4592,2691,2,10,5,1,1,1,1,No
5789,472.1,5939,7650,1932,3894,2293,2,10,2,1,1,1,2,No
2716,403.3,5073,3078,1940,3654,2145,2,8,4,1,1,1,0,Recent
251,298.5,3755,6514,1960,2118,1380,2,8,3,1,1,1,0,No
3912,516,6491,5900,1913,4386,2475,2,9,4,1,1,1,1,No
1617,350.6,4410,5899,1956,2810,1650,2,7,3,2,0,1,1,Old
4087,444,5585,5150,1917,3297,2061,2,7,4,1,1,1,1,Old
5328,356,4478,4568,1930,2916,1333,1,8,4,1,1,1,0,No
936,317.3,3991,5395,1960,2794,1671,1,5,2,1,0,1,1,No
1213,303.5,3818,4572,1925,2572,1299,1.5,6,3,1,1,1,1,No
