Value of House,TAX,LOT SQFT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,FIREPLACE,Old,Recent
336.3,4230,4900,2597,1568,2.0,7,3,1,0,0,False,False
342.5,4308,4717,2802,1620,2.0,7,3,1,1,0,False,False
416.6,5240,5068,3112,1734,2.0,9,4,2,1,1,False,False
485.5,6107,6252,2587,1615,2.0,9,3,1,1,1,False,True
500.3,6293,7232,5206,2692,2.0,9,3,2,0,1,False,False
348.3,4381,3400,2540,1632,2.0,9,4,1,1,1,False,False
312.5,3931,6057,2374,1306,1.5,6,3,2,0,1,False,False
406.8,5117,7600,3404,1745,2.0,8,3,1,1,0,False,False
389.7,4902,5798,3268,1808,2.0,9,4,1,1,1,False,False
297.8,3746,5975,2628,1469,1.5,7,3,2,0,0,False,False
364.9,4590,4760,2352,1100,1.0,5,3,2,0,1,False,False
741.9,9333,7589,4856,3245,1.5,10,5,3,1,2,False,False
446.7,5619,7498,2860,1680,1.5,8,4,1,1,1,False,False
344.1,4328,7482,2635,1315,1.0,7,3,1,1,1,False,False
289.5,3641,4335,2087,1326,2.0,7,3,1,1,1,True,False
453.4,5703,7571,2820,1950,2.0,7,3,2,0,1,False,True
442.0,5560,6309,3665,2074,2.0,9,5,2,0,1,False,False
408.8,5142,7218,2946,1428,1.5,6,2,1,1,1,False,True
309.4,3892,3649,2248,1488,2.0,7,4,1,1,1,False,False
446.4,5615,6000,2700,1740,2.0,7,4,1,2,1,False,False
337.4,4244,6600,2447,1226,1.5,7,3,1,1,0,False,False
301.0,3786,6000,2280,1715,1.0,7,3,1,1,1,False,False
398.8,5016,6000,3320,1938,2.0,8,4,1,1,1,False,False
402.3,5060,6083,2714,1792,2.0,8,3,1,1,0,True,False
369.5,4648,5500,2820,1503,1.5,7,4,2,0,1,False,False
522.7,6575,6048,3134,2006,2.0,7,3,2,1,2,False,False
367.0,4616,4461,2604,1404,2.0,6,3,1,1,1,False,False
325.3,4092,3310,2328,1536,2.0,7,4,1,1,1,False,False
389.8,4903,5000,2400,1620,2.0,6,3,1,1,0,False,False
315.5,3968,5000,2256,1042,1.0,7,3,1,0,0,False,False
470.1,5913,5000,3061,1836,2.0,7,3,2,1,0,False,True
338.5,4258,3525,2016,960,1.0,5,2,1,0,0,False,False
419.4,5276,4400,4217,2680,2.5,9,6,1,1,2,False,False
292.1,3674,4250,2430,1137,1.0,6,3,1,0,1,True,False
413.414,5200,9150,2324,1326,2.0,7,3,1,1,1,False,False
396.1,4982,6375,3114,1778,2.0,8,4,2,0,1,False,True
270.5,3402,4433,3238,1492,1.0,6,2,1,0,0,True,False
399.5,5025,9030,3006,1904,2.0,8,3,1,1,1,False,False
300.6,3781,5043,2336,1306,1.5,6,3,2,0,1,False,False
340.6,4284,5016,2284,1173,1.5,5,2,1,1,2,False,False
313.4,3942,4050,2536,1582,2.0,6,3,1,1,1,False,False
270.0,3396,4204,2373,1050,1.0,6,2,1,0,0,False,False
491.1,6178,6500,3722,2048,2.0,8,4,3,1,1,False,True
545.0,6856,8598,4111,2133,2.0,7,3,1,1,1,True,False
289.7,3644,4581,2091,975,1.0,5,2,1,0,0,False,False
355.8,4475,8526,2068,1726,1.0,9,3,2,0,0,False,False
429.2,5399,8160,3359,1544,1.0,7,4,1,1,1,False,False
422.2,5311,5000,3144,1828,2.0,9,4,1,1,1,False,False
420.4,5288,6548,2918,1643,2.0,7,3,1,1,1,False,False
321.5,4044,5616,2664,1346,1.5,7,3,1,0,0,False,True
345.0,4340,3224,2213,1274,2.0,6,3,1,1,1,False,False
387.3,4872,7125,2530,1430,2.0,6,3,1,1,1,False,True
352.6,4435,4750,3332,1771,1.5,7,3,1,0,1,False,False
518.3,6520,7877,3644,2150,2.0,9,6,2,0,0,False,True
346.7,4361,3502,2523,1632,2.0,8,3,1,1,0,False,False
357.4,4496,4000,3954,1725,1.0,7,4,1,1,1,True,False
419.2,5273,5590,3597,2151,2.0,8,3,1,1,1,False,False
307.1,3863,6000,2308,2009,1.0,9,3,2,0,0,False,False
297.7,3745,3564,2369,1448,2.0,6,3,1,1,0,False,False
384.3,4834,4196,2872,1593,1.5,5,2,1,1,0,False,False
280.4,3527,3207,2622,1379,2.0,7,3,1,1,0,False,False
465.9,5861,5180,2826,1674,2.0,8,3,1,1,1,True,False
564.0,7095,5000,4108,2421,2.0,7,4,1,2,1,False,True
484.5,6095,8474,2844,1558,2.0,7,3,1,1,1,False,False
349.4,4395,5500,2835,1544,1.5,6,2,1,1,1,False,False
340.5,4283,5958,2184,1210,1.5,6,3,1,1,1,False,False
378.8,4765,6000,2851,1795,2.0,6,3,2,0,1,False,False
482.3,6067,11324,3555,1981,2.0,10,5,1,1,1,True,False
340.7,4286,5941,2712,1469,1.5,7,3,2,0,0,False,True
451.2,5676,8143,2976,1770,2.0,7,3,1,1,1,False,False
344.0,4327,5812,2924,1595,1.5,6,3,2,0,1,False,False
523.0,6579,8665,4399,2416,2.0,9,4,1,2,2,True,False
419.2,5273,5200,2567,1464,2.0,7,3,1,1,1,False,False
442.3,5564,3750,2754,1859,2.0,8,3,2,0,1,False,True
302.3,3802,5500,2304,1116,1.0,6,2,1,0,1,True,False
341.0,4289,3811,2064,1364,2.0,7,3,1,0,1,False,False
276.9,3483,4254,2100,1404,1.0,5,3,1,1,0,True,False
329.0,4138,5912,2807,1218,1.0,6,2,1,0,1,False,False
375.0,4717,5000,2874,1724,2.0,6,3,1,0,0,False,False
370.1,4655,3816,3590,1588,1.0,9,4,2,0,1,False,False
297.9,3747,4000,2352,1104,1.0,8,4,2,0,0,False,False
302.3,3802,4513,2276,1056,1.0,5,3,2,0,1,False,True
447.3,5627,6687,3692,2132,2.0,7,4,1,1,1,False,False
548.5,6900,8424,3086,1988,1.0,6,3,1,1,2,False,False
346.7,4361,4000,2504,1188,1.0,6,2,1,0,1,False,True
281.7,3543,4272,1669,1104,2.0,5,3,1,1,0,False,False
259.7,3267,3178,2464,1206,1.0,6,2,1,0,0,False,False
360.9,4540,5400,2508,1440,2.0,6,3,3,0,0,False,True
337.2,4241,13250,2508,1075,1.0,6,3,1,1,1,False,False
470.2,5915,6000,3346,2005,2.0,7,3,1,1,1,False,False
416.2,5235,4440,3074,1832,2.0,8,4,2,0,0,False,False
331.3,4167,4793,2154,1380,2.0,6,3,1,0,0,False,False
348.0,4377,9001,2840,1632,2.0,7,3,1,0,0,False,False
374.1,4706,5387,3086,1666,1.5,6,3,1,1,1,True,False
359.8,4526,3850,2355,1379,2.0,7,3,1,1,1,False,False
455.9,5735,4708,2924,1933,2.0,8,4,1,1,1,False,False
574.3,7224,9562,4173,2367,2.5,9,5,2,1,1,False,True
488.2,6141,18515,4449,2511,2.0,9,3,3,0,2,False,False
535.0,6730,5732,3818,2113,2.0,9,5,1,0,1,False,False
428.3,5388,4002,3325,1966,2.0,7,4,1,1,1,False,True
257.4,3238,5850,2295,1015,1.0,6,3,1,0,0,False,False
561.8,7067,9604,3960,2455,2.0,8,4,2,1,1,False,False
412.2,5185,7090,3151,1836,2.0,8,3,1,1,1,False,False
370.4,4659,4461,2185,1350,2.0,9,4,1,0,0,False,False
484.4,6093,6185,2863,1820,2.0,6,3,1,1,0,False,False
606.1,7624,12029,5068,2874,2.0,8,4,1,1,1,False,False
429.7,5405,5768,3401,2110,2.0,8,3,1,1,1,False,False
339.6,4272,3185,2714,1758,2.0,7,4,1,1,0,False,False
471.6,5932,8652,3212,2072,2.0,7,3,1,1,1,False,True
327.5,4119,5968,3216,1839,2.0,7,3,1,1,0,False,False
384.4,4835,5692,2915,1596,2.0,7,3,1,1,1,False,False
364.4,4584,5032,1825,1225,2.0,7,3,1,1,1,True,False
1009.9,12704,13300,7624,4133,2.0,9,4,3,1,2,False,False
270.7,3405,4165,2384,1306,1.5,6,3,1,0,1,False,False
432.5,5440,4992,2520,1834,1.0,5,3,1,0,1,False,True
598.1,7524,12927,3303,1818,2.0,8,4,1,1,0,False,False
354.7,4462,5385,2878,1248,1.0,6,2,1,0,1,False,False
489.7,6160,9062,3541,2665,2.0,8,3,2,0,0,True,False
478.5,6019,5000,3072,1980,2.0,8,4,2,0,1,False,True
368.1,4630,4423,2486,1404,2.0,7,3,1,1,0,False,False
338.3,4255,3360,2528,1536,2.0,7,4,1,1,1,False,False
470.2,5915,10500,3758,1781,1.5,6,3,2,0,1,False,False
345.0,4340,3224,2213,1274,2.0,6,3,1,1,1,False,False
389.9,4904,5712,2564,1499,2.0,8,3,1,1,1,False,False
484.5,6095,8474,2844,1558,2.0,7,3,1,1,1,False,False
378.2,4757,5985,2344,1112,1.0,5,2,1,1,1,False,False
340.0,4277,5000,2294,1275,2.0,6,3,1,1,1,False,False
558.8,7029,8317,4133,2605,2.0,8,4,2,1,1,False,False
278.5,3503,4046,2480,1120,1.0,5,2,1,0,1,False,False
482.2,6066,7005,3522,2096,2.0,10,5,2,1,1,False,False
306.3,3853,6710,2232,1044,1.0,6,2,1,0,1,False,False
396.7,4990,5055,2779,1704,2.0,7,4,1,1,1,False,False
669.5,8422,13850,6016,3470,2.0,11,5,2,1,1,False,False
514.7,6474,9006,3560,2210,2.0,6,3,1,1,1,False,False
233.6,2938,3600,1904,864,1.0,5,2,1,0,0,False,True
387.7,4877,3926,3396,2014,2.0,8,3,1,1,1,False,True
302.3,3802,4200,2272,1352,2.0,8,3,1,0,1,False,True
220.9,2778,3000,1812,840,1.0,5,2,1,0,0,False,False
313.2,3940,3724,2796,1576,1.5,6,3,1,1,1,False,False
351.2,4418,5725,2584,1428,1.5,6,3,1,0,0,False,False
277.7,3493,5365,1505,1294,1.0,7,4,1,0,0,False,False
423.8,5331,7124,2852,1578,2.0,7,3,1,1,1,False,True
256.4,3225,2410,2535,1632,2.0,7,3,2,0,0,False,False
546.6,6876,8400,4411,2190,2.0,7,4,1,1,1,True,False
406.5,5113,7036,2518,1449,2.0,7,3,1,1,1,True,False
299.9,3772,4645,2640,1165,1.0,6,3,1,1,2,False,False
226.4,2848,2965,2000,1002,1.0,5,2,1,0,0,False,False
397.4,4999,5469,2145,1352,2.0,8,2,1,1,1,False,True
378.7,4764,5454,2695,1608,2.0,7,3,1,1,1,False,False
415.1,5221,5296,2673,1394,1.5,8,3,1,1,1,False,True
465.9,5861,5180,2826,1674,2.0,8,3,1,1,1,True,False
314.1,3951,10641,2136,1008,1.0,6,3,1,1,0,False,False
318.3,4004,4632,2886,1346,1.0,6,4,1,0,0,False,False
626.7,7883,10500,5883,3046,2.0,9,3,1,1,1,False,False
426.5,5365,8470,2830,1271,1.0,5,3,1,1,1,False,False
364.9,4590,5000,2260,1389,2.0,7,4,1,1,0,False,False
283.8,3570,4238,2340,1306,1.5,5,2,2,0,1,False,False
334.5,4208,6500,2250,1275,1.5,6,3,2,0,1,True,False
425.3,5350,6303,2820,1800,2.0,7,3,2,1,0,False,False
377.3,4746,6145,3244,1142,1.0,6,3,2,0,0,False,False
346.4,4357,4307,2076,1352,2.0,6,2,1,0,0,True,False
406.1,5108,5343,2978,1756,2.0,7,4,1,1,1,False,True
329.9,4150,8858,2436,1726,1.0,7,3,1,1,2,False,False
429.3,5400,6989,3428,1700,1.0,7,3,1,1,1,False,False
422.6,5316,6312,2844,1680,2.0,7,4,1,1,1,False,False
264.2,3323,4020,1844,1152,2.0,6,2,1,1,0,False,False
386.8,4865,6154,2352,1327,2.0,6,3,1,1,1,False,False
441.4,5552,6303,3293,1936,2.0,8,3,1,1,1,False,True
344.6,4335,5781,2422,1251,1.5,7,3,1,1,1,False,False
374.8,4714,11425,3130,1180,1.0,6,2,1,1,2,True,False
265.2,3336,5164,1808,864,1.0,5,2,1,0,1,False,False
259.3,3261,3175,2684,1183,1.0,5,2,1,0,1,False,False
314.3,3953,7109,2239,1380,2.0,8,3,1,1,0,False,False
507.6,6385,7155,4698,2227,1.0,8,4,2,0,1,False,False
533.7,6713,9116,3330,2084,2.0,7,3,2,0,1,False,True
279.6,3517,6026,2376,1487,1.0,9,3,1,1,0,False,False
356.0,4478,5000,2343,1296,2.0,6,2,1,1,1,False,False
460.0,5786,9379,2320,1470,2.0,8,3,2,1,1,False,True
316.9,3986,5304,2706,1479,1.5,7,3,1,0,0,False,False
298.3,3752,4400,2339,960,1.0,5,3,1,0,0,False,False
554.9,6980,10663,5212,2885,2.0,10,4,2,1,0,False,True
398.6,5014,5024,2506,1576,2.0,7,3,1,1,0,False,False
507.2,6380,7667,3111,2389,1.0,7,3,1,2,1,False,False
341.8,4299,6531,2700,1260,1.0,6,3,1,1,1,False,False
302.0,3799,7005,2356,1108,1.0,5,2,1,0,1,True,False
291.8,3670,4000,2096,1032,1.0,6,4,2,0,0,False,False
408.8,5142,6535,2748,1544,2.0,7,3,1,0,1,False,False
387.9,4879,5823,2567,1479,2.0,6,3,1,1,1,False,False
563.1,7083,9021,4065,2605,2.0,8,4,2,1,1,False,False
381.5,4799,4030,3250,1872,2.0,6,3,2,0,1,True,False
454.5,5717,10405,3684,1956,2.0,8,3,1,1,1,False,False
386.5,4862,4000,2328,1384,2.0,7,3,1,1,1,False,True
434.8,5469,8951,3431,2655,1.0,8,3,2,0,2,False,False
231.1,2907,5657,2160,1080,1.0,5,3,1,0,1,False,False
376.0,4730,4000,2502,1419,1.5,5,2,1,1,1,False,True
286.9,3609,6044,2634,1469,1.5,5,2,1,0,0,False,False
343.7,4323,6049,2877,1373,1.5,6,3,1,1,1,True,False
376.6,4737,4761,2772,1816,2.5,7,3,1,1,1,True,False
390.9,4917,5371,2986,1664,2.0,6,3,1,1,1,False,False
323.6,4070,4637,3144,1400,1.0,7,4,1,0,0,False,False
576.0,7246,6864,5122,3108,2.0,8,4,2,1,1,False,False
403.3,5073,3078,3654,2145,2.0,8,4,1,1,0,False,True
437.1,5498,3839,2922,1330,1.0,7,3,2,0,1,False,True
308.2,3877,3694,1690,1008,2.0,5,2,1,0,0,False,False
337.5,4245,5687,2550,1224,1.5,7,3,1,0,0,False,False
388.0,4881,7218,2690,1395,2.0,7,3,1,1,1,False,False
273.4,3439,4307,2044,1152,2.0,6,3,1,0,1,False,False
322.5,4057,4932,2484,1075,1.0,6,3,1,1,0,False,True
385.6,4850,6000,2214,1470,2.0,8,4,1,1,1,False,False
416.5,5239,6380,2796,1716,2.0,8,4,1,1,1,False,False
289.5,3641,5000,2206,995,1.0,5,2,1,0,0,False,False
177.4,2231,3624,821,600,1.0,5,2,1,0,0,False,False
424.5,5340,8021,2624,1434,1.5,7,4,1,1,1,False,False
445.9,5609,6251,3418,2013,2.0,7,3,2,0,1,False,False
346.9,4364,5388,2240,1284,1.5,7,4,1,1,0,False,False
412.4,5187,6000,2991,1680,2.0,6,3,1,1,1,False,False
510.2,6418,6480,3119,1729,2.0,7,3,1,1,0,False,True
316.0,3975,8418,2001,1019,1.5,6,3,1,0,0,False,False
329.9,4150,8858,2436,1726,1.0,7,3,1,1,2,False,False
423.5,5327,6710,3020,1778,2.0,7,3,2,1,1,False,False
177.4,2231,3624,821,600,1.0,5,2,1,0,0,False,False
480.4,6043,5201,3544,1920,2.0,7,4,1,1,1,False,False
538.3,6771,6349,4002,2084,2.0,8,4,2,1,1,False,True
330.5,4157,6163,2520,1260,1.0,6,2,1,0,1,False,False
322.2,4053,4151,2988,1344,1.0,7,5,1,1,1,True,False
457.1,5750,6459,2392,1214,1.5,7,3,2,0,1,False,True
325.3,4092,3310,2328,1536,2.0,7,4,1,1,1,False,False
499.3,6281,6871,3776,2215,2.0,8,4,2,1,1,False,False
321.0,4038,3500,2378,1408,2.0,7,4,1,0,1,False,False
496.1,6240,9858,4612,2038,1.0,12,5,3,0,2,False,False
672.6,8461,14282,5062,2822,2.0,11,5,1,2,2,False,False
397.9,5005,5000,2247,1230,2.0,6,3,2,0,1,True,False
291.3,3664,3931,2593,1403,1.5,6,2,1,0,1,False,False
564.0,7095,5000,4108,2421,2.0,7,4,1,2,1,False,True
280.3,3526,2845,3100,1761,1.5,8,5,2,0,0,False,True
317.8,3997,6197,2294,2059,1.0,6,3,1,0,1,False,False
535.8,6740,6835,2599,1465,2.0,6,3,2,1,0,False,True
227.3,2859,4545,1800,900,1.0,5,3,1,0,0,False,False
365.1,4592,5058,3362,1763,2.0,8,4,2,0,0,False,True
304.4,3829,3662,2400,1400,2.0,7,3,1,0,0,False,False
530.8,6677,8153,4979,2854,2.0,9,5,2,0,2,False,True
288.2,3625,4159,2356,1306,1.5,6,2,1,0,1,False,False
310.3,3903,6111,2148,1726,1.0,8,4,1,1,0,False,False
356.3,4482,4900,2660,1798,2.0,7,4,1,1,0,True,False
432.1,5435,8023,2615,1434,2.0,7,3,1,1,1,False,False
359.9,4527,6143,2629,1188,1.0,6,3,1,1,1,False,False
422.2,5311,8350,2666,1841,1.0,5,3,1,0,0,False,False
401.7,5053,8545,2864,1476,2.0,6,3,1,0,0,False,False
512.8,6451,11382,3840,2160,2.0,7,3,2,1,0,False,False
316.2,3977,8423,2204,1085,1.5,6,3,1,1,0,False,False
362.5,4560,5500,2630,1556,2.0,7,3,1,1,1,False,False
432.7,5443,10250,2847,1764,2.0,6,3,1,0,0,False,False
370.5,4660,6000,2509,1520,2.0,6,3,1,1,1,False,False
457.4,5754,8431,5416,2407,1.0,6,2,2,0,0,False,False
349.0,4390,4825,2136,1242,2.0,6,3,1,0,0,False,False
318.4,4005,4630,2314,1409,2.0,7,3,1,0,1,False,False
542.3,6822,5720,5022,2654,2.0,10,4,1,2,1,False,False
343.1,4316,5941,2084,1372,2.0,6,3,1,1,0,False,False
273.6,3441,4888,2430,1075,1.0,5,4,1,1,0,False,False
396.4,4986,5750,3498,1827,1.5,6,4,2,0,0,False,True
325.6,4096,4800,2116,1303,2.0,6,3,1,1,0,False,False
335.3,4218,6400,3404,2612,1.0,7,4,1,1,1,True,False
409.9,5156,6930,2704,1608,2.0,6,3,1,1,1,False,False
354.2,4455,7040,2800,1260,1.0,5,2,1,0,1,False,False
396.6,4989,7077,2610,1590,2.0,6,3,1,0,1,False,False
419.1,5272,7500,2500,1560,2.0,6,3,1,1,1,False,False
276.2,3474,4464,1776,888,1.0,4,2,1,0,1,False,False
438.1,5511,10800,3211,1560,2.0,6,3,1,1,1,False,False
275.3,3463,4000,2521,1111,1.0,5,2,1,0,0,False,False
349.4,4395,5049,2504,1506,1.5,6,3,1,0,1,False,False
182.7,2298,1616,1439,856,2.0,5,2,1,0,0,False,False
301.4,3791,6444,2886,1474,1.5,6,3,1,1,1,False,False
407.0,5120,6287,3370,1968,2.0,8,4,2,0,1,False,False
325.2,4091,5128,1780,1112,2.0,6,2,1,1,1,False,False
480.0,6038,4829,2631,1716,2.0,9,3,2,1,1,False,True
304.3,3828,3710,1873,1144,2.0,8,4,1,0,0,False,False
343.4,4319,5000,2396,1306,1.5,7,3,1,1,1,False,False
413.0,5195,5974,2664,1664,2.0,8,3,1,1,1,False,False
396.9,4993,5082,3476,2000,2.0,7,4,1,1,0,False,True
285.3,3589,3856,2112,1232,2.0,7,3,1,0,1,False,False
473.9,5961,7500,4881,2652,2.0,7,4,1,1,2,False,False
425.8,5356,7794,3830,2029,2.0,8,4,1,1,0,False,True
345.4,4345,4500,2576,1346,1.5,6,2,2,0,1,True,False
402.3,5060,6500,3940,2212,2.0,9,5,1,1,0,False,False
468.2,5889,6120,2921,2098,2.0,9,4,1,1,1,False,True
307.1,3863,7532,2898,1726,1.0,6,2,2,0,0,False,False
281.6,3542,3086,2331,1142,1.5,7,3,1,0,0,True,False
331.2,4166,13494,2340,1306,1.5,6,3,2,0,1,False,False
406.9,5118,6756,2604,1680,2.0,7,3,2,0,1,False,False
387.4,4873,6030,2395,1915,1.0,5,3,1,0,1,False,False
403.9,5081,5500,3221,1880,2.0,7,3,1,1,1,False,False
461.1,5800,5764,2417,1392,2.0,9,4,1,1,1,False,False
585.4,7364,18247,5561,3160,2.0,10,7,3,0,2,False,False
475.2,5978,7860,3220,2187,2.0,8,4,2,1,2,False,True
385.6,4850,5682,4368,2039,1.0,9,4,2,0,0,False,False
595.2,7487,9425,4455,2838,2.5,10,6,2,1,1,False,True
390.9,4917,6800,2514,1961,1.0,8,4,1,1,2,False,False
462.9,5823,6085,3010,1974,2.0,8,4,2,1,1,False,True
328.9,4137,9834,2598,1414,1.5,6,3,1,1,0,False,False
332.7,4185,4903,1826,1152,2.0,6,3,1,0,0,False,False
559.0,7032,8400,4592,2691,2.0,10,5,1,1,1,False,False
472.1,5939,7650,3894,2293,2.0,10,2,1,1,2,False,False
403.3,5073,3078,3654,2145,2.0,8,4,1,1,0,False,True
298.5,3755,6514,2118,1380,2.0,8,3,1,1,0,False,False
516.0,6491,5900,4386,2475,2.0,9,4,1,1,1,False,False
350.6,4410,5899,2810,1650,2.0,7,3,2,0,1,True,False
444.0,5585,5150,3297,2061,2.0,7,4,1,1,1,True,False
356.0,4478,4568,2916,1333,1.0,8,4,1,1,0,False,False
317.3,3991,5395,2794,1671,1.0,5,2,1,0,1,False,False
303.5,3818,4572,2572,1299,1.5,6,3,1,1,1,False,False
332.5,4182,5090,3360,1933,2.0,9,6,1,1,0,False,False
340.0,4277,5400,2714,1376,1.5,6,3,1,0,1,False,True
397.3,4998,5000,2864,1752,2.0,8,3,1,1,0,False,False
302.3,3802,4513,2276,1056,1.0,5,3,2,0,1,False,True
512.3,6444,13654,3319,1939,2.0,8,3,1,1,1,True,False
368.1,4630,4965,2954,1571,1.5,6,3,2,0,1,True,False
354.3,4457,4000,2986,1694,2.0,7,3,1,0,1,False,False
416.2,5235,4440,3074,1832,2.0,8,4,2,0,0,False,False
426.9,5370,6500,3558,2014,2.0,8,4,2,0,0,True,False
395.2,4971,4203,2336,1448,2.0,7,3,2,1,1,False,False
554.5,6975,6772,3783,2394,2.0,7,3,2,1,1,False,False
529.4,6659,6783,3071,1728,2.0,7,3,1,1,1,False,False
359.9,4527,7796,3085,1808,2.0,8,3,2,0,0,True,False
435.0,5472,6212,3961,1870,1.5,6,4,2,0,1,True,False
332.4,4181,6375,2130,1372,2.0,7,3,1,0,0,False,False
384.3,4834,6000,2918,1862,2.0,7,5,1,1,1,False,False
433.8,5457,6000,2580,1740,2.0,8,4,2,1,1,False,False
331.2,4166,5540,3030,1669,1.5,7,3,1,1,1,False,False
322.2,4053,4151,2988,1344,1.0,7,5,1,1,1,True,False
252.5,3176,4000,2006,970,1.0,5,2,1,0,0,False,False
338.3,4255,6406,2066,1726,1.0,8,4,2,0,0,False,True
499.6,6284,9025,3103,1804,2.0,9,4,1,1,1,True,False
365.1,4592,5058,3362,1763,2.0,8,4,2,0,0,False,True
521.8,6564,9840,4827,2716,2.0,10,6,1,1,1,False,False
573.4,7213,11200,5344,2544,2.0,10,4,1,1,0,False,False
258.1,3246,6308,2102,1011,1.0,5,2,1,0,1,False,False
460.8,5796,4950,3120,1712,2.0,8,5,1,2,1,False,False
706.3,8885,8180,5587,2987,2.0,8,4,2,0,1,False,False
522.7,6575,7125,3472,1886,2.0,7,3,1,0,1,False,False
604.0,7598,9784,4557,2246,1.5,7,3,1,1,1,False,True
321.3,4041,3609,2232,1392,2.0,6,3,1,1,1,False,False
454.1,5712,5665,3810,2236,2.0,8,4,1,1,1,False,False
739.7,9305,14475,6733,3714,2.0,11,4,2,2,2,False,True
272.1,3423,4845,1976,988,1.0,5,3,1,0,2,False,False
624.9,7861,11700,3807,2220,2.0,7,3,1,1,1,False,True
317.2,3990,5559,2220,1377,2.0,6,3,1,1,1,False,False
423.3,5325,5000,2818,1558,2.0,7,3,1,1,1,True,False
398.9,5018,6650,2726,1840,2.0,7,3,1,1,1,False,False
598.8,7532,4750,4737,2563,2.0,9,6,2,1,1,False,True
434.6,5467,9689,3576,2685,1.0,10,6,2,2,0,True,False
546.4,6873,5303,3789,2466,2.0,10,4,3,0,2,False,True
460.5,5793,9500,2776,1732,2.0,8,3,1,1,0,True,False
454.5,5717,10405,3684,1956,2.0,8,3,1,1,1,False,False
373.4,4697,5127,3262,1490,1.0,7,3,2,0,0,False,False
322.3,4054,7999,2016,1008,1.0,9,4,1,1,0,False,False
522.4,6571,7991,4260,2285,2.0,8,5,2,1,1,False,False
338.9,4263,5000,2700,1392,1.5,7,2,1,1,1,False,False
522.2,6569,10500,3611,2257,2.0,9,4,1,1,1,False,False
